locality,time,CO2
Waitangi,2015.619355,388.6785889
Waitangi,2015.954839,382.941925
Waitangi,2016.073656,395.3938293
Waitangi,2016.184946,390.8312988
Waitangi,2016.487097,390.0213318
Waitangi,2017.608065,399.8840942
Waitangi,2017.664247,396.2683411
Waitangi,2017.857527,400.9931641
Waitangi,2018.032258,390.0228271
Waitangi,2018.036022,393.112915
Waitangi,2018.062366,394.1432495
Waitangi,2018.077957,397.348999
Waitangi,2018.148925,399.1396179
Waitangi,2018.172581,387.9790344
Waitangi,2018.180108,399.7816162
Waitangi,2018.202151,397.5652161
Waitangi,2018.290323,390.4897156
Waitangi,2018.358602,407.3590698
Waitangi,2018.366129,396.0274658
Waitangi,2018.37043,397.6004944
Waitangi,2018.532796,398.9308472
Waitangi,2018.569892,391.4152832
Waitangi,2018.597312,402.6183167
Waitangi,2018.601613,385.112793
Waitangi,2018.604301,400.2377319
Waitangi,2018.612903,396.6091614
Waitangi,2018.658065,395.7081604
Waitangi,2018.728495,397.9999084
Waitangi,2018.939785,397.216095
Waitangi,2018.94328,394.8589172
Waitangi,2018.944086,392.4974365
Waitangi,2018.983871,398.4128723
Waitangi,2018.99086,399.804657
Waitangi,2018.998387,393.6441345
Waitangi,2019.026344,394.1882019
Waitangi,2019.032527,399.4804077
Waitangi,2019.126882,393.472229
Waitangi,2019.181183,399.4065247
Waitangi,2019.256989,405.2428894
Waitangi,2019.27957,401.5039673
Waitangi,2019.281452,376.3977356
Waitangi,2019.294086,398.6689453
Waitangi,2019.301075,398.2844849
Waitangi,2019.305376,396.6272278
Waitangi,2019.337097,397.0016479
Waitangi,2019.452688,400.5476685
Waitangi,2019.525269,393.6185913
Waitangi,2019.76129,400.5154419
Waitangi,2019.804839,401.098999
Waitangi,2019.842473,402.8583374
Waitangi,2019.905376,402.4781494
Waitangi,2019.950538,402.6629028
Waitangi,2019.963978,400.6680298
Waitangi,2020.019892,391.9161682
Waitangi,2020.04086,404.4695129
Waitangi,2020.043011,398.593689
Waitangi,2020.116667,401.4397888
Waitangi,2020.178495,401.0205078
Waitangi,2020.180645,405.8674316
Waitangi,2020.184946,402.3409424
Waitangi,2020.195161,393.4407043
Waitangi,2020.254301,397.7770996
Waitangi,2020.34086,396.8291321
Waitangi,2020.42043,398.2077637
Waitangi,2020.454301,398.7984924
Waitangi,2020.468817,400.1873474
Waitangi,2020.532796,403.0637817
Waitangi,2020.923118,413.6095276
Waitangi,2021.075269,402.2551575
